 	Nucl_A_5pUTR	Nucl_T_5pUTR	Nucl_G_5pUTR	Nucl_C_5pUTR
MSMEG_3751	NA	NA	NA	NA
MSMEG_3752	0	0.3333	0.3333	0.3333
MSMEG_3753	NA	NA	NA	NA
MSMEG_3754	0.2553	0.1418	0.2695	0.3333
MSMEG_3758	NA	NA	NA	NA
MSMEG_3759	0	0	1.0	0
MSMEG_3760	NA	NA	NA	NA
MSMEG_3761	NA	NA	NA	NA
MSMEG_3762	NA	NA	NA	NA
MSMEG_3763	NA	NA	NA	NA
MSMEG_3764	NA	NA	NA	NA
MSMEG_3765	0.156	0.156	0.3761	0.3119
MSMEG_3766	0.1818	0.1234	0.3831	0.3117
MSMEG_3767	0.1667	0.2381	0.4286	0.1667
MSMEG_3768	0	0	0.3333	0.6667
MSMEG_3769	NA	NA	NA	NA
MSMEG_3770	NA	NA	NA	NA
MSMEG_3771	NA	NA	NA	NA
MSMEG_3772	NA	NA	NA	NA
MSMEG_3773	NA	NA	NA	NA
MSMEG_3774	0.1402	0.155	0.3469	0.3579
MSMEG_3775	0.2146	0.1533	0.3257	0.3065
MSMEG_3776	NA	NA	NA	NA
MSMEG_3777	NA	NA	NA	NA
MSMEG_3778	NA	NA	NA	NA
MSMEG_3779	NA	NA	NA	NA
MSMEG_3780	NA	NA	NA	NA
MSMEG_3781	NA	NA	NA	NA
MSMEG_3782	NA	NA	NA	NA
MSMEG_3783	NA	NA	NA	NA
MSMEG_3784	0.1429	0.1714	0.4571	0.2286
MSMEG_3785	0.2444	0.1556	0.3778	0.2222
MSMEG_3786	0.2985	0.209	0.2388	0.2537
MSMEG_3787	NA	NA	NA	NA
MSMEG_3788	NA	NA	NA	NA
MSMEG_3789	NA	NA	NA	NA
MSMEG_3790	NA	NA	NA	NA
MSMEG_3791	0.3125	0.1406	0.2188	0.3281
MSMEG_3792	0.3226	0.129	0.2581	0.2903
MSMEG_3793	NA	NA	NA	NA
MSMEG_3794	0.1406	0.1875	0.3021	0.3698
MSMEG_3795	0.1892	0.1351	0.4054	0.2703
MSMEG_3796	0.1578	0.1203	0.3476	0.3743
MSMEG_3797	NA	NA	NA	NA
MSMEG_3798	NA	NA	NA	NA
MSMEG_3799	NA	NA	NA	NA
MSMEG_3800	0.1781	0.1507	0.3836	0.2877
MSMEG_3801	NA	NA	NA	NA
MSMEG_3802	0.1781	0.137	0.3151	0.3699
MSMEG_3803	0.2791	0.0465	0.4186	0.2558
MSMEG_3804	NA	NA	NA	NA
MSMEG_3805	NA	NA	NA	NA
MSMEG_3806	NA	NA	NA	NA
MSMEG_3807	NA	NA	NA	NA
MSMEG_3808	0.2329	0.137	0.3288	0.3014
MSMEG_3809	NA	NA	NA	NA
MSMEG_3810	NA	NA	NA	NA
MSMEG_3811	0.2	0.2	0.4667	0.1333
MSMEG_3812	NA	NA	NA	NA
MSMEG_3813	NA	NA	NA	NA
MSMEG_3815	NA	NA	NA	NA
MSMEG_3816	NA	NA	NA	NA
MSMEG_3817	NA	NA	NA	NA
MSMEG_3818	NA	NA	NA	NA
MSMEG_3819	NA	NA	NA	NA
MSMEG_3820	NA	NA	NA	NA
MSMEG_3821	NA	NA	NA	NA
MSMEG_3822	NA	NA	NA	NA
MSMEG_3823	NA	NA	NA	NA
MSMEG_3824	NA	NA	NA	NA
MSMEG_3825	NA	NA	NA	NA
MSMEG_3826	NA	NA	NA	NA
MSMEG_3827	NA	NA	NA	NA
MSMEG_3828	NA	NA	NA	NA
MSMEG_3829	NA	NA	NA	NA
MSMEG_3830	NA	NA	NA	NA
MSMEG_3831	0.2018	0.1469	0.3136	0.3377
MSMEG_3832	NA	NA	NA	NA
MSMEG_3833	0.2903	0.1613	0.2097	0.3387
MSMEG_3834	NA	NA	NA	NA
MSMEG_3835	0.1632	0.1423	0.3473	0.3473
MSMEG_3836	0.1852	0.1852	0.3333	0.2963
MSMEG_3837	NA	NA	NA	NA
MSMEG_3838	NA	NA	NA	NA
MSMEG_3839	NA	NA	NA	NA
MSMEG_3840	NA	NA	NA	NA
MSMEG_3841	NA	NA	NA	NA
MSMEG_3842	NA	NA	NA	NA
MSMEG_3843	NA	NA	NA	NA
MSMEG_3844	NA	NA	NA	NA
MSMEG_3845	NA	NA	NA	NA
MSMEG_3846	NA	NA	NA	NA
MSMEG_3847	NA	NA	NA	NA
MSMEG_3848	NA	NA	NA	NA
MSMEG_3849	NA	NA	NA	NA
MSMEG_3850	NA	NA	NA	NA
MSMEG_3851	NA	NA	NA	NA
MSMEG_3852	NA	NA	NA	NA
MSMEG_3853	NA	NA	NA	NA
MSMEG_3854	0.1357	0.2286	0.2643	0.3714
MSMEG_3855	0.1758	0.1722	0.315	0.337
MSMEG_3856	0.1897	0.1552	0.2931	0.3621
MSMEG_3857	NA	NA	NA	NA
MSMEG_3858	0.2812	0.1719	0.3281	0.2188
MSMEG_3859	NA	NA	NA	NA
MSMEG_3860	NA	NA	NA	NA
MSMEG_3861	0.2079	0.099	0.2871	0.4059
MSMEG_3862	NA	NA	NA	NA
MSMEG_3863	NA	NA	NA	NA
MSMEG_3864	NA	NA	NA	NA
MSMEG_3865	NA	NA	NA	NA
MSMEG_3866	NA	NA	NA	NA
MSMEG_3867	NA	NA	NA	NA
MSMEG_3868	NA	NA	NA	NA
MSMEG_3869	0.1561	0.1829	0.361	0.3
MSMEG_3870	NA	NA	NA	NA
MSMEG_3871	NA	NA	NA	NA
MSMEG_3872	NA	NA	NA	NA
MSMEG_3873	NA	NA	NA	NA
MSMEG_3874	0.3043	0.1304	0.3043	0.2609
MSMEG_3875	NA	NA	NA	NA
MSMEG_3876	NA	NA	NA	NA
MSMEG_3877	0.1772	0.1709	0.3797	0.2722
MSMEG_3878	NA	NA	NA	NA
MSMEG_3879	NA	NA	NA	NA
MSMEG_3880	0	0	1.0	0
MSMEG_3881	NA	NA	NA	NA
MSMEG_3882	NA	NA	NA	NA
MSMEG_3883	NA	NA	NA	NA
MSMEG_3884	NA	NA	NA	NA
MSMEG_3885	NA	NA	NA	NA
MSMEG_3886	NA	NA	NA	NA
MSMEG_3887	0.3333	0.1905	0.2857	0.1905
MSMEG_3888	NA	NA	NA	NA
MSMEG_3890	NA	NA	NA	NA
MSMEG_3891	NA	NA	NA	NA
MSMEG_3892	NA	NA	NA	NA
MSMEG_3893	NA	NA	NA	NA
MSMEG_3894	NA	NA	NA	NA
MSMEG_3895	NA	NA	NA	NA
MSMEG_3896	0.2245	0.102	0.4082	0.2653
MSMEG_3897	NA	NA	NA	NA
MSMEG_3898	NA	NA	NA	NA
MSMEG_3899	NA	NA	NA	NA
MSMEG_3900	NA	NA	NA	NA
MSMEG_3901	0.2069	0.3276	0.2586	0.2069
MSMEG_3902	0.2105	0.1842	0.3684	0.2368
MSMEG_3903	0.32	0.16	0.32	0.2
MSMEG_3904	0.1576	0.1467	0.3424	0.3533
MSMEG_3905	NA	NA	NA	NA
MSMEG_3906	NA	NA	NA	NA
MSMEG_3907	NA	NA	NA	NA
MSMEG_3908	NA	NA	NA	NA
MSMEG_3909	NA	NA	NA	NA
MSMEG_3910	NA	NA	NA	NA
MSMEG_3911	NA	NA	NA	NA
MSMEG_3912	NA	NA	NA	NA
MSMEG_3913	NA	NA	NA	NA
MSMEG_3914	NA	NA	NA	NA
MSMEG_3915	NA	NA	NA	NA
MSMEG_3916	0.2578	0.2266	0.3281	0.1875
MSMEG_3917	NA	NA	NA	NA
MSMEG_3918	NA	NA	NA	NA
MSMEG_3919	0.2208	0.1417	0.3	0.3375
MSMEG_3920	NA	NA	NA	NA
MSMEG_3921	NA	NA	NA	NA
MSMEG_3922	NA	NA	NA	NA
MSMEG_3923	NA	NA	NA	NA
MSMEG_3924	NA	NA	NA	NA
MSMEG_3925	NA	NA	NA	NA
MSMEG_3926	NA	NA	NA	NA
MSMEG_3927	0	0	1.0	0
MSMEG_3928	NA	NA	NA	NA
MSMEG_3929	NA	NA	NA	NA
MSMEG_3930	0.1811	0.1496	0.3307	0.3386
MSMEG_3931	NA	NA	NA	NA
MSMEG_3932	NA	NA	NA	NA
MSMEG_3933	NA	NA	NA	NA
MSMEG_3934	NA	NA	NA	NA
MSMEG_3935	NA	NA	NA	NA
MSMEG_3936	NA	NA	NA	NA
MSMEG_3937	NA	NA	NA	NA
MSMEG_3938	NA	NA	NA	NA
MSMEG_3939	NA	NA	NA	NA
MSMEG_3940	NA	NA	NA	NA
MSMEG_3941	NA	NA	NA	NA
MSMEG_3942	NA	NA	NA	NA
MSMEG_3943	NA	NA	NA	NA
MSMEG_3944	NA	NA	NA	NA
MSMEG_3945	NA	NA	NA	NA
MSMEG_3946	NA	NA	NA	NA
MSMEG_3947	NA	NA	NA	NA
MSMEG_3948	NA	NA	NA	NA
MSMEG_3949	NA	NA	NA	NA
MSMEG_3950	0.3704	0	0.3333	0.2963
MSMEG_3951	NA	NA	NA	NA
MSMEG_3952	NA	NA	NA	NA
MSMEG_3953	NA	NA	NA	NA
MSMEG_3954	NA	NA	NA	NA
MSMEG_3955	NA	NA	NA	NA
MSMEG_3956	NA	NA	NA	NA
MSMEG_3957	NA	NA	NA	NA
MSMEG_3958	0.1765	0.2206	0.3971	0.2059
MSMEG_3959	0.3	0.16	0.26	0.28
MSMEG_3960	0.2167	0.1417	0.3583	0.2833
MSMEG_3961	NA	NA	NA	NA
MSMEG_3962	0.1636	0.2818	0.2909	0.2636
MSMEG_3963	NA	NA	NA	NA
MSMEG_3964	NA	NA	NA	NA
MSMEG_3965	0.2364	0.1318	0.1909	0.4409
MSMEG_3966	NA	NA	NA	NA
MSMEG_3967	NA	NA	NA	NA
MSMEG_3968	0.1562	0.1875	0.3438	0.3125
MSMEG_3969	NA	NA	NA	NA
MSMEG_3970	NA	NA	NA	NA
MSMEG_3971	NA	NA	NA	NA
MSMEG_3972	NA	NA	NA	NA
MSMEG_3973	NA	NA	NA	NA
MSMEG_3975	0.2895	0.1842	0.3158	0.2105
MSMEG_3976	0.1667	0.3333	0.3333	0.1667
MSMEG_3977	0.2353	0.1961	0.2745	0.2941
MSMEG_3978	NA	NA	NA	NA
MSMEG_3980	0.2807	0.1404	0.2982	0.2807
MSMEG_3981	NA	NA	NA	NA
MSMEG_3982	NA	NA	NA	NA
MSMEG_3984	NA	NA	NA	NA
MSMEG_3985	NA	NA	NA	NA
MSMEG_3986	NA	NA	NA	NA
MSMEG_3987	NA	NA	NA	NA
MSMEG_3988	0.2222	0.3333	0.2778	0.1667
MSMEG_3989	NA	NA	NA	NA
MSMEG_3990	NA	NA	NA	NA
MSMEG_3991	NA	NA	NA	NA
MSMEG_3992	NA	NA	NA	NA
MSMEG_3993	NA	NA	NA	NA
MSMEG_3994	NA	NA	NA	NA
MSMEG_3995	NA	NA	NA	NA
MSMEG_3996	NA	NA	NA	NA
MSMEG_3997	NA	NA	NA	NA
MSMEG_3998	NA	NA	NA	NA
MSMEG_3999	NA	NA	NA	NA
MSMEG_4000	NA	NA	NA	NA
MSMEG_4001	NA	NA	NA	NA
MSMEG_4002	NA	NA	NA	NA
MSMEG_4003	NA	NA	NA	NA
MSMEG_4004	NA	NA	NA	NA
MSMEG_4005	NA	NA	NA	NA
MSMEG_4006	NA	NA	NA	NA
MSMEG_4007	NA	NA	NA	NA
MSMEG_4008	NA	NA	NA	NA
MSMEG_4009	NA	NA	NA	NA
MSMEG_4010	NA	NA	NA	NA
MSMEG_4011	NA	NA	NA	NA
MSMEG_4012	NA	NA	NA	NA
MSMEG_4013	NA	NA	NA	NA
MSMEG_4014	NA	NA	NA	NA
MSMEG_4015	NA	NA	NA	NA
MSMEG_4016	NA	NA	NA	NA
MSMEG_4017	NA	NA	NA	NA
MSMEG_4018	NA	NA	NA	NA
MSMEG_4019	NA	NA	NA	NA
MSMEG_4020	NA	NA	NA	NA
MSMEG_4021	NA	NA	NA	NA
MSMEG_4022	0.2	0.15	0.4	0.25
MSMEG_4023	NA	NA	NA	NA
MSMEG_4024	0	0.2	0.4	0.4
MSMEG_4025	NA	NA	NA	NA
MSMEG_4026	NA	NA	NA	NA
MSMEG_4027	NA	NA	NA	NA
MSMEG_4028	NA	NA	NA	NA
MSMEG_4029	0.2727	0.1818	0.3636	0.1818
MSMEG_4030	0.2698	0.1905	0.2222	0.3175
MSMEG_4031	NA	NA	NA	NA
MSMEG_4032	NA	NA	NA	NA
MSMEG_4033	NA	NA	NA	NA
MSMEG_4034	NA	NA	NA	NA
MSMEG_4035	NA	NA	NA	NA
MSMEG_4036	NA	NA	NA	NA
MSMEG_4037	0.2215	0.1799	0.3114	0.2872
MSMEG_4038	0.2451	0.2059	0.2843	0.2647
MSMEG_4039	NA	NA	NA	NA
MSMEG_4040	NA	NA	NA	NA
MSMEG_4041	0.1864	0.2034	0.2881	0.322
MSMEG_4042	0.2358	0.1698	0.2736	0.3208
MSMEG_4043	NA	NA	NA	NA
MSMEG_4044	0.2308	0.2308	0.3462	0.1923
MSMEG_4045	NA	NA	NA	NA
MSMEG_4046	NA	NA	NA	NA
MSMEG_4047	NA	NA	NA	NA
MSMEG_4048	NA	NA	NA	NA
MSMEG_4049	NA	NA	NA	NA
MSMEG_4050	NA	NA	NA	NA
MSMEG_4051	NA	NA	NA	NA
MSMEG_4052	0.2008	0.1929	0.2953	0.311
MSMEG_4053	0.1159	0.2609	0.3913	0.2319
MSMEG_4054	NA	NA	NA	NA
MSMEG_4055	0.1514	0.1135	0.3027	0.4324
MSMEG_4056	NA	NA	NA	NA
MSMEG_4057	0.1739	0.2464	0.3623	0.2174
MSMEG_4058	NA	NA	NA	NA
MSMEG_4059	NA	NA	NA	NA
MSMEG_4061	NA	NA	NA	NA
MSMEG_4062	NA	NA	NA	NA
MSMEG_4063	NA	NA	NA	NA
MSMEG_4064	NA	NA	NA	NA
MSMEG_4065	NA	NA	NA	NA
MSMEG_4066	NA	NA	NA	NA
MSMEG_4067	0.2407	0.1852	0.2593	0.3148
MSMEG_4068	0.2117	0.2086	0.2638	0.316
MSMEG_4069	NA	NA	NA	NA
MSMEG_4070	NA	NA	NA	NA
MSMEG_4071	0.1619	0.1905	0.4	0.2476
MSMEG_4072	NA	NA	NA	NA
MSMEG_4074	NA	NA	NA	NA
MSMEG_4075	NA	NA	NA	NA
MSMEG_4076	NA	NA	NA	NA
MSMEG_4077	NA	NA	NA	NA
MSMEG_4078	NA	NA	NA	NA
MSMEG_4079	0.1885	0.1393	0.4016	0.2705
MSMEG_4081	0.1643	0.2063	0.3392	0.2902
MSMEG_4082	NA	NA	NA	NA
MSMEG_4083	NA	NA	NA	NA
MSMEG_4084	NA	NA	NA	NA
MSMEG_4085	0.1818	0.1576	0.2848	0.3758
MSMEG_4086	NA	NA	NA	NA
MSMEG_4087	0.1748	0.2238	0.2937	0.3077
MSMEG_4088	0.1553	0.2039	0.3495	0.2913
MSMEG_4089	NA	NA	NA	NA
MSMEG_4090	0.2208	0.1558	0.3117	0.3117
MSMEG_4091	NA	NA	NA	NA
MSMEG_4092	NA	NA	NA	NA
MSMEG_4093	NA	NA	NA	NA
MSMEG_4094	NA	NA	NA	NA
MSMEG_4095	NA	NA	NA	NA
MSMEG_4096	NA	NA	NA	NA
MSMEG_4097	NA	NA	NA	NA
MSMEG_4098	NA	NA	NA	NA
MSMEG_4099	NA	NA	NA	NA
MSMEG_4100	NA	NA	NA	NA
MSMEG_4101	NA	NA	NA	NA
MSMEG_4102	NA	NA	NA	NA
MSMEG_4103	NA	NA	NA	NA
MSMEG_4104	NA	NA	NA	NA
MSMEG_4105	NA	NA	NA	NA
MSMEG_4106	NA	NA	NA	NA
MSMEG_4107	NA	NA	NA	NA
MSMEG_4108	0.1331	0.2278	0.3107	0.3284
MSMEG_4109	0.2119	0.1623	0.2947	0.3311
MSMEG_4110	NA	NA	NA	NA
MSMEG_4111	NA	NA	NA	NA
MSMEG_4112	NA	NA	NA	NA
MSMEG_4113	0.1963	0.1215	0.3131	0.3692
MSMEG_4114	NA	NA	NA	NA
MSMEG_4115	NA	NA	NA	NA
MSMEG_4116	0.198	0.1644	0.3087	0.3289
MSMEG_4117	NA	NA	NA	NA
MSMEG_4118	NA	NA	NA	NA
MSMEG_4119	NA	NA	NA	NA
MSMEG_4120	0.2588	0.1235	0.2941	0.3235
MSMEG_4121	0.1818	0.1364	0.5455	0.1364
MSMEG_4122	NA	NA	NA	NA
MSMEG_4123	0.2308	0.1538	0.2564	0.359
MSMEG_4124	NA	NA	NA	NA
MSMEG_4125	0.3	0.2	0.35	0.15
MSMEG_4126	0.2564	0.2051	0.2051	0.3333
MSMEG_4127	NA	NA	NA	NA
MSMEG_4128	0.1951	0.122	0.4146	0.2683
MSMEG_4129	NA	NA	NA	NA
MSMEG_4130	0.1389	0.0833	0.3611	0.4167
MSMEG_4131	NA	NA	NA	NA
MSMEG_4132	0.2207	0.2069	0.3379	0.2345
MSMEG_4133	0.2342	0.1139	0.3101	0.3418
MSMEG_4135	NA	NA	NA	NA
MSMEG_4136	NA	NA	NA	NA
MSMEG_4137	NA	NA	NA	NA
MSMEG_4138	NA	NA	NA	NA
MSMEG_4140	NA	NA	NA	NA
MSMEG_4141	NA	NA	NA	NA
MSMEG_4142	0	0	1.0	0
MSMEG_4143	0.2778	0.1296	0.3148	0.2778
MSMEG_4144	NA	NA	NA	NA
MSMEG_4145	0.2353	0.1765	0.3333	0.2549
MSMEG_4146	NA	NA	NA	NA
MSMEG_4147	NA	NA	NA	NA
MSMEG_4148	NA	NA	NA	NA
MSMEG_4149	NA	NA	NA	NA
MSMEG_4150	NA	NA	NA	NA
MSMEG_4151	0.1787	0.1836	0.3575	0.2802
MSMEG_4152	NA	NA	NA	NA
MSMEG_4153	0.1719	0.2969	0.2812	0.25
MSMEG_4154	NA	NA	NA	NA
MSMEG_4155	0.1773	0.2475	0.3177	0.2575
MSMEG_4156	NA	NA	NA	NA
MSMEG_4157	NA	NA	NA	NA
MSMEG_4158	NA	NA	NA	NA
MSMEG_4159	0.2	0.1333	0.4	0.2667
MSMEG_4160	0.1688	0.2143	0.2922	0.3247
MSMEG_4161	0.2112	0.1793	0.2311	0.3785
MSMEG_4162	NA	NA	NA	NA
MSMEG_4163	0.1404	0.1579	0.3363	0.3655
MSMEG_4164	NA	NA	NA	NA
MSMEG_4165	0.1814	0.1495	0.3382	0.3309
MSMEG_4166	0.2196	0.1557	0.3028	0.322
MSMEG_4167	NA	NA	NA	NA
MSMEG_4168	NA	NA	NA	NA
MSMEG_4169	NA	NA	NA	NA
MSMEG_4170	NA	NA	NA	NA
MSMEG_4171	NA	NA	NA	NA
MSMEG_4172	NA	NA	NA	NA
MSMEG_4173	NA	NA	NA	NA
MSMEG_4174	0.4194	0.2581	0.1613	0.1613
MSMEG_4175	NA	NA	NA	NA
MSMEG_4176	NA	NA	NA	NA
MSMEG_4178	NA	NA	NA	NA
MSMEG_4179	0.2174	0.0435	0.3043	0.4348
MSMEG_4180	0.1767	0.1617	0.3684	0.2932
MSMEG_4181	NA	NA	NA	NA
MSMEG_4182	NA	NA	NA	NA
MSMEG_4183	NA	NA	NA	NA
MSMEG_4184	NA	NA	NA	NA
MSMEG_4185	0.1978	0.1429	0.3297	0.3297
MSMEG_4186	NA	NA	NA	NA
MSMEG_4187	NA	NA	NA	NA
MSMEG_4188	NA	NA	NA	NA
MSMEG_4189	NA	NA	NA	NA
MSMEG_4190	NA	NA	NA	NA
MSMEG_4191	NA	NA	NA	NA
MSMEG_4192	0	0	0.3333	0.6667
MSMEG_4193	NA	NA	NA	NA
MSMEG_4194	NA	NA	NA	NA
MSMEG_4195	NA	NA	NA	NA
MSMEG_4196	0.2245	0.1224	0.2653	0.3878
MSMEG_4197	0.1888	0.1469	0.3357	0.3287
MSMEG_4198	NA	NA	NA	NA
MSMEG_4199	0.3617	0.0851	0.2979	0.2553
MSMEG_4200	NA	NA	NA	NA
MSMEG_4202	NA	NA	NA	NA
MSMEG_4203	NA	NA	NA	NA
MSMEG_4204	NA	NA	NA	NA
MSMEG_4205	NA	NA	NA	NA
MSMEG_4207	NA	NA	NA	NA
MSMEG_4208	NA	NA	NA	NA
MSMEG_4209	NA	NA	NA	NA
MSMEG_4210	NA	NA	NA	NA
MSMEG_4211	NA	NA	NA	NA
MSMEG_4212	NA	NA	NA	NA
MSMEG_4213	NA	NA	NA	NA
MSMEG_4214	NA	NA	NA	NA
MSMEG_4215	0.3056	0.0556	0.3333	0.3056
MSMEG_4216	NA	NA	NA	NA
MSMEG_4217	NA	NA	NA	NA
MSMEG_4218	0.1979	0.1979	0.3021	0.3021
MSMEG_4219	0.2794	0.1765	0.2059	0.3382
MSMEG_4220	NA	NA	NA	NA
MSMEG_4221	NA	NA	NA	NA
MSMEG_4222	0.26	0.17	0.33	0.24
MSMEG_4223	NA	NA	NA	NA
MSMEG_4224	NA	NA	NA	NA
MSMEG_4225	0.1667	0.1222	0.4111	0.3
MSMEG_4226	0.1453	0.1111	0.3761	0.3675
MSMEG_4227	NA	NA	NA	NA
MSMEG_4228	0.127	0.1885	0.3566	0.3279
MSMEG_4229	NA	NA	NA	NA
MSMEG_4230	0.1434	0.168	0.4098	0.2787
MSMEG_4231	NA	NA	NA	NA
MSMEG_4232	0.1576	0.1556	0.3414	0.3455
MSMEG_4233	NA	NA	NA	NA
MSMEG_4234	NA	NA	NA	NA
MSMEG_4235	0.1955	0.1763	0.3045	0.3237
MSMEG_4236	0.2105	0.1053	0.4474	0.2368
MSMEG_4237	0.2143	0.2054	0.3661	0.2143
MSMEG_4238	0.2093	0.1977	0.2907	0.3023
MSMEG_4239	NA	NA	NA	NA
MSMEG_4240	0.2586	0.0862	0.3793	0.2759
MSMEG_4241	NA	NA	NA	NA
MSMEG_4242	NA	NA	NA	NA
MSMEG_4243	NA	NA	NA	NA
MSMEG_4244	NA	NA	NA	NA
MSMEG_4245	0.1747	0.1478	0.3737	0.3038
MSMEG_4246	0.1907	0.1401	0.2879	0.3813
MSMEG_4247	NA	NA	NA	NA
MSMEG_4248	0.1429	0.1429	0.4286	0.2857
MSMEG_4249	0.1124	0.2135	0.3933	0.2809
MSMEG_4250	NA	NA	NA	NA
MSMEG_4251	0.2037	0.0926	0.4444	0.2593
MSMEG_4252	0	0	1.0	0
MSMEG_4253	0.2667	0.1333	0.4	0.2
MSMEG_4254	NA	NA	NA	NA
MSMEG_4255	NA	NA	NA	NA
MSMEG_4256	0.2094	0.2065	0.3186	0.2655
MSMEG_4257	0.3514	0.1081	0.3514	0.1892
MSMEG_4258	NA	NA	NA	NA
MSMEG_4259	NA	NA	NA	NA
MSMEG_4260	NA	NA	NA	NA
MSMEG_4261	0.1493	0.2393	0.2962	0.3152
MSMEG_4262	NA	NA	NA	NA
MSMEG_4263	NA	NA	NA	NA
MSMEG_4264	0.1856	0.2156	0.2695	0.3293
MSMEG_4265	NA	NA	NA	NA
MSMEG_4266	NA	NA	NA	NA
MSMEG_4267	NA	NA	NA	NA
MSMEG_4268	0.2549	0.1569	0.2745	0.3137
MSMEG_4269	NA	NA	NA	NA
MSMEG_4270	0.2226	0.166	0.3245	0.2868
MSMEG_4271	0.1852	0.1481	0.3333	0.3333
MSMEG_4272	0.2125	0.1625	0.3375	0.2875
MSMEG_4273	NA	NA	NA	NA
MSMEG_4274	0.159	0.1715	0.3389	0.3305
MSMEG_4275	NA	NA	NA	NA
MSMEG_4276	NA	NA	NA	NA
MSMEG_4277	NA	NA	NA	NA
MSMEG_4278	NA	NA	NA	NA
MSMEG_4279	NA	NA	NA	NA
MSMEG_4280	0.2	0.1667	0.3667	0.2667
MSMEG_4281	NA	NA	NA	NA
MSMEG_4282	0.2069	0.069	0.4828	0.2414
MSMEG_4283	0.2473	0.1935	0.2903	0.2688
MSMEG_4284	0.1745	0.1342	0.396	0.2953
MSMEG_4285	NA	NA	NA	NA
MSMEG_4286	NA	NA	NA	NA
MSMEG_4287	NA	NA	NA	NA
MSMEG_4288	NA	NA	NA	NA
MSMEG_4289	NA	NA	NA	NA
MSMEG_4290	0.3846	0.1538	0.2692	0.1923
MSMEG_4291	NA	NA	NA	NA
MSMEG_4292	NA	NA	NA	NA
MSMEG_4293	NA	NA	NA	NA
MSMEG_4294	NA	NA	NA	NA
MSMEG_4295	NA	NA	NA	NA
MSMEG_4296	NA	NA	NA	NA
MSMEG_4297	NA	NA	NA	NA
MSMEG_4298	0.2464	0.1449	0.3333	0.2754
MSMEG_4299	NA	NA	NA	NA
MSMEG_4300	NA	NA	NA	NA
MSMEG_4301	NA	NA	NA	NA
MSMEG_4302	0.1842	0.1579	0.3684	0.2895
MSMEG_4303	NA	NA	NA	NA
MSMEG_4304	NA	NA	NA	NA
MSMEG_4305	NA	NA	NA	NA
MSMEG_4306	NA	NA	NA	NA
MSMEG_4307	0.13	0.17	0.38	0.32
MSMEG_4308	NA	NA	NA	NA
MSMEG_4309	NA	NA	NA	NA
MSMEG_4310	NA	NA	NA	NA
MSMEG_4311	NA	NA	NA	NA
MSMEG_4313	0.2222	0.25	0.3611	0.1667
MSMEG_4314	0.3333	0.0833	0.3333	0.25
MSMEG_4315	NA	NA	NA	NA
MSMEG_4316	NA	NA	NA	NA
MSMEG_4317	NA	NA	NA	NA
MSMEG_4318	NA	NA	NA	NA
MSMEG_4320	0.1846	0.1385	0.3846	0.2923
MSMEG_4321	0.3514	0.0541	0.2973	0.2973
MSMEG_4322	NA	NA	NA	NA
MSMEG_4323	0.339	0.1525	0.2712	0.2373
MSMEG_4324	NA	NA	NA	NA
MSMEG_4325	NA	NA	NA	NA
MSMEG_4326	0.2162	0.1321	0.3213	0.3303
MSMEG_4327	NA	NA	NA	NA
MSMEG_4328	NA	NA	NA	NA
MSMEG_4329	NA	NA	NA	NA
MSMEG_4330	NA	NA	NA	NA
MSMEG_4331	NA	NA	NA	NA
MSMEG_4332	NA	NA	NA	NA
MSMEG_4333	NA	NA	NA	NA
MSMEG_4334	NA	NA	NA	NA
MSMEG_4335	NA	NA	NA	NA
MSMEG_4336	0.2222	0.1889	0.3333	0.2556
MSMEG_4337	0.28	0.16	0.44	0.12
MSMEG_4338	NA	NA	NA	NA
MSMEG_4339	NA	NA	NA	NA
MSMEG_4340	NA	NA	NA	NA
MSMEG_4341	NA	NA	NA	NA
MSMEG_4342	NA	NA	NA	NA
MSMEG_4343	NA	NA	NA	NA
MSMEG_4344	NA	NA	NA	NA
MSMEG_4345	NA	NA	NA	NA
MSMEG_4346	NA	NA	NA	NA
MSMEG_4347	0.1064	0.2128	0.4255	0.2553
MSMEG_4348	NA	NA	NA	NA
MSMEG_4349	0.2143	0.0714	0.5714	0.1429
MSMEG_4350	NA	NA	NA	NA
MSMEG_4351	0.2941	0.0882	0.3529	0.2647
MSMEG_4352	NA	NA	NA	NA
MSMEG_4353	NA	NA	NA	NA
MSMEG_4354	NA	NA	NA	NA
MSMEG_4355	NA	NA	NA	NA
MSMEG_4356	NA	NA	NA	NA
MSMEG_4357	NA	NA	NA	NA
MSMEG_4358	NA	NA	NA	NA
MSMEG_4359	0.1684	0.1767	0.3368	0.3181
MSMEG_4360	0.1186	0.1864	0.4068	0.2881
MSMEG_4361	0.3261	0.087	0.3696	0.2174
MSMEG_4362	NA	NA	NA	NA
MSMEG_4363	NA	NA	NA	NA
MSMEG_4364	NA	NA	NA	NA
MSMEG_4365	0.2182	0.1091	0.4182	0.2545
MSMEG_4366	0.1096	0.137	0.411	0.3425
MSMEG_4367	0.1803	0.127	0.3074	0.3852
MSMEG_4368	0.2727	0.1818	0.2424	0.303
MSMEG_4369	NA	NA	NA	NA
MSMEG_4370	NA	NA	NA	NA
MSMEG_4371	0.1949	0.1118	0.3482	0.345
MSMEG_4372	NA	NA	NA	NA
MSMEG_4373	NA	NA	NA	NA
MSMEG_4374	NA	NA	NA	NA
