 	adja_AA_5pUTR	adja_AC_5pUTR	adja_AG_5pUTR	adja_AU_5pUTR	adja_CA_5pUTR	adja_CC_5pUTR	adja_CG_5pUTR	adja_CU_5pUTR	adja_GA_5pUTR	adja_GC_5pUTR	adja_GG_5pUTR	adja_GU_5pUTR	adja_UA_5pUTR	adja_UC_5pUTR	adja_UG_5pUTR	adja_UU_5pUTR
MSMEG_4094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4108	0.0178	0.0504	0.0148	0.0504	0.0653	0.0623	0.1424	0.0593	0.0386	0.1217	0.0712	0.0772	0.0119	0.092	0.0831	0.0415
MSMEG_4109	0.0598	0.0698	0.0465	0.0365	0.0731	0.1063	0.103	0.0498	0.0598	0.113	0.0864	0.0332	0.0166	0.0432	0.0598	0.0432
MSMEG_4110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4113	0.0282	0.0657	0.0751	0.0282	0.0939	0.0845	0.1408	0.0469	0.0657	0.1455	0.0704	0.0329	0.0094	0.0751	0.0235	0.0141
MSMEG_4114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4116	0.0337	0.0539	0.0505	0.0572	0.0875	0.0842	0.1212	0.037	0.0673	0.1145	0.0774	0.0505	0.0067	0.0774	0.0606	0.0202
MSMEG_4117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4120	0.071	0.1124	0.0592	0.0178	0.0947	0.0828	0.0947	0.0473	0.0888	0.0769	0.0828	0.0473	0.0059	0.0533	0.0533	0.0118
MSMEG_4121	0.0952	0.0	0.0952	0.0	0.0476	0.0	0.0952	0.0	0.0476	0.0952	0.2381	0.1429	0.0	0.0476	0.0952	0.0
MSMEG_4122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4123	0.026	0.0649	0.0649	0.0649	0.1299	0.1169	0.0649	0.0519	0.0519	0.1039	0.0909	0.013	0.013	0.0779	0.039	0.026
MSMEG_4124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4125	0.0526	0.1053	0.1579	0.0	0.0526	0.0	0.0	0.0526	0.1053	0.0526	0.1053	0.1053	0.1053	0.0	0.0526	0.0526
MSMEG_4126	0.0263	0.0789	0.0526	0.1053	0.0526	0.1053	0.1053	0.0526	0.1053	0.0789	0.0263	0.0	0.0526	0.0789	0.0263	0.0526
MSMEG_4127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4128	0.0	0.075	0.125	0.0	0.05	0.05	0.15	0.025	0.1	0.1	0.125	0.075	0.025	0.05	0.025	0.025
MSMEG_4129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4130	0.0571	0.0571	0.0286	0.0	0.0	0.1429	0.2	0.0571	0.0857	0.2	0.0571	0.0286	0.0	0.0286	0.0571	0.0
MSMEG_4131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4132	0.0486	0.0833	0.0486	0.0417	0.0417	0.0417	0.0764	0.0764	0.1111	0.0694	0.0972	0.0556	0.0139	0.0417	0.1181	0.0347
MSMEG_4133	0.0701	0.0637	0.0701	0.0318	0.0637	0.1019	0.1083	0.0701	0.0955	0.121	0.0828	0.0064	0.0064	0.0573	0.0446	0.0064
MSMEG_4135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4143	0.0377	0.1132	0.1321	0.0	0.0755	0.0566	0.0755	0.0566	0.1321	0.0755	0.0755	0.0377	0.0189	0.0377	0.0377	0.0377
MSMEG_4144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4145	0.08	0.04	0.08	0.04	0.06	0.06	0.1	0.04	0.1	0.04	0.1	0.1	0.0	0.12	0.04	0.0
MSMEG_4146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4151	0.0097	0.0388	0.068	0.0631	0.0437	0.0825	0.1214	0.034	0.1019	0.0874	0.0922	0.0728	0.0243	0.0728	0.0728	0.0146
MSMEG_4152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4153	0.0159	0.0952	0.0317	0.0317	0.0635	0.0317	0.0635	0.0952	0.0317	0.0317	0.0794	0.127	0.0635	0.0952	0.0952	0.0476
MSMEG_4154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4155	0.0369	0.0436	0.057	0.0403	0.0436	0.0604	0.094	0.057	0.0839	0.0671	0.0671	0.1007	0.0134	0.0872	0.0973	0.0503
MSMEG_4156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4159	0.0714	0.0714	0.0714	0.0	0.0	0.1429	0.0714	0.0	0.0714	0.0714	0.2143	0.0714	0.0714	0.0	0.0714	0.0
MSMEG_4160	0.0195	0.0358	0.0619	0.0521	0.0782	0.0879	0.1042	0.0554	0.0489	0.1238	0.0521	0.0651	0.0228	0.0782	0.0717	0.0423
MSMEG_4161	0.04	0.08	0.028	0.064	0.1	0.132	0.104	0.044	0.052	0.084	0.052	0.04	0.02	0.084	0.044	0.032
MSMEG_4162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4163	0.0147	0.0528	0.0381	0.0352	0.0674	0.0997	0.1378	0.0616	0.0557	0.1349	0.0997	0.044	0.0029	0.0792	0.0587	0.0176
MSMEG_4164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4165	0.0295	0.0565	0.0516	0.0442	0.0663	0.0737	0.1376	0.0516	0.0713	0.145	0.0835	0.0393	0.0147	0.0565	0.0639	0.0147
MSMEG_4166	0.0556	0.0855	0.047	0.0299	0.0684	0.0919	0.1132	0.0491	0.0791	0.0812	0.0897	0.0534	0.0171	0.0641	0.0513	0.0235
MSMEG_4167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4174	0.0667	0.0667	0.0333	0.2667	0.1333	0.0333	0.0	0.0	0.1	0.0	0.0667	0.0	0.1	0.0667	0.0667	0.0
MSMEG_4175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4179	0.0455	0.1364	0.0455	0.0	0.0909	0.1818	0.0909	0.0455	0.0909	0.1364	0.0909	0.0	0.0	0.0	0.0455	0.0
MSMEG_4180	0.0264	0.0528	0.0717	0.0264	0.0377	0.0679	0.1283	0.0566	0.0981	0.1208	0.0906	0.0604	0.0151	0.0528	0.0755	0.0189
MSMEG_4181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4185	0.0444	0.0667	0.0778	0.0111	0.0444	0.0889	0.1444	0.0444	0.1	0.0889	0.0778	0.0667	0.0111	0.0889	0.0222	0.0222
MSMEG_4186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4192	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
MSMEG_4193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4196	0.0625	0.0833	0.0625	0.0208	0.0417	0.1875	0.125	0.0417	0.125	0.0833	0.0208	0.0417	0.0	0.0417	0.0417	0.0208
MSMEG_4197	0.0423	0.0845	0.0352	0.0282	0.0423	0.0986	0.1408	0.0423	0.0704	0.0915	0.1056	0.0704	0.0282	0.0563	0.0563	0.007
MSMEG_4198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4199	0.1304	0.1304	0.0652	0.0435	0.0435	0.0435	0.1087	0.0435	0.1739	0.0652	0.0652	0.0	0.0	0.0217	0.0652	0.0
MSMEG_4200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4215	0.0571	0.0571	0.1714	0.0286	0.1429	0.0857	0.0857	0.0	0.1143	0.1143	0.0571	0.0286	0.0	0.0571	0.0	0.0
MSMEG_4216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4218	0.0105	0.0737	0.0632	0.0526	0.0947	0.0632	0.1158	0.0316	0.0632	0.0632	0.0632	0.1053	0.0316	0.1053	0.0526	0.0105
MSMEG_4219	0.0299	0.0896	0.1194	0.0448	0.1791	0.0746	0.0448	0.0448	0.0448	0.0299	0.0448	0.0746	0.0149	0.1493	0.0	0.0149
MSMEG_4220	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4222	0.0505	0.0707	0.101	0.0404	0.0606	0.0707	0.0505	0.0505	0.1111	0.0707	0.1212	0.0303	0.0404	0.0303	0.0505	0.0505
MSMEG_4223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4225	0.0337	0.0449	0.0449	0.0449	0.0562	0.0562	0.1348	0.0449	0.0674	0.1461	0.1685	0.0337	0.0112	0.0562	0.0562	0.0
MSMEG_4226	0.0259	0.0431	0.0431	0.0345	0.0517	0.0603	0.2155	0.0345	0.069	0.1897	0.0862	0.0345	0.0	0.069	0.0345	0.0086
MSMEG_4227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4228	0.0165	0.037	0.0453	0.0288	0.0535	0.0988	0.1317	0.0412	0.0494	0.1193	0.0988	0.0905	0.0082	0.0741	0.0782	0.0288
MSMEG_4229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4230	0.0123	0.0535	0.037	0.0412	0.037	0.0988	0.107	0.037	0.0823	0.0905	0.1646	0.07	0.0123	0.037	0.0988	0.0206
MSMEG_4231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4232	0.0121	0.0607	0.0425	0.0425	0.0628	0.0891	0.1538	0.0385	0.0688	0.1275	0.0911	0.0547	0.0142	0.0668	0.0547	0.0202
MSMEG_4233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4235	0.0354	0.074	0.0579	0.0257	0.0611	0.1029	0.0932	0.0675	0.0804	0.0868	0.0836	0.0547	0.0161	0.0611	0.0707	0.0289
MSMEG_4236	0.0667	0.0533	0.0667	0.0267	0.0133	0.0667	0.1333	0.0267	0.1333	0.0533	0.2133	0.04	0.0	0.0667	0.0267	0.0133
MSMEG_4237	0.036	0.0721	0.045	0.0541	0.045	0.027	0.1261	0.018	0.0811	0.0541	0.1441	0.0901	0.0541	0.0631	0.045	0.045
MSMEG_4238	0.0321	0.0612	0.0525	0.0641	0.0583	0.0816	0.1079	0.0554	0.0875	0.0904	0.0612	0.0496	0.0321	0.07	0.0671	0.0292
MSMEG_4239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4240	0.0702	0.1053	0.0702	0.0175	0.1228	0.0175	0.0526	0.0702	0.0526	0.1404	0.193	0.0	0.0175	0.0175	0.0526	0.0
MSMEG_4241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4245	0.0377	0.0593	0.0377	0.0404	0.0512	0.0836	0.1348	0.0323	0.0782	0.1078	0.1294	0.0593	0.0081	0.0539	0.0701	0.0162
MSMEG_4246	0.0352	0.0742	0.0508	0.0312	0.0938	0.125	0.1172	0.043	0.0391	0.1367	0.0664	0.0469	0.0234	0.0469	0.0508	0.0195
MSMEG_4247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4248	0.0	0.0	0.1176	0.0294	0.0294	0.1176	0.0882	0.0294	0.0588	0.1176	0.1765	0.0882	0.0294	0.0588	0.0588	0.0
MSMEG_4249	0.0114	0.0341	0.0341	0.0341	0.0341	0.0682	0.1477	0.0341	0.0682	0.0909	0.1136	0.125	0.0	0.0909	0.0909	0.0227
MSMEG_4250	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4251	0.0377	0.0566	0.1132	0.0	0.0755	0.0755	0.0943	0.0189	0.0566	0.0943	0.2075	0.0755	0.0189	0.0377	0.0377	0.0
MSMEG_4252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4253	0.069	0.069	0.069	0.069	0.0	0.1034	0.1034	0.0	0.1724	0.0345	0.1034	0.069	0.0345	0.0	0.1034	0.0
MSMEG_4254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4256	0.0651	0.0621	0.0562	0.0266	0.0473	0.068	0.0917	0.0562	0.0828	0.0947	0.068	0.074	0.0148	0.0414	0.1006	0.0503
MSMEG_4257	0.0833	0.0833	0.1111	0.0556	0.0833	0.0278	0.0833	0.0	0.1944	0.0	0.1111	0.0556	0.0	0.0556	0.0556	0.0
MSMEG_4258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4261	0.0119	0.0618	0.0333	0.0404	0.0641	0.0689	0.114	0.0689	0.0523	0.0808	0.0808	0.0831	0.0214	0.1021	0.0689	0.0475
MSMEG_4262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4264	0.0361	0.0783	0.0301	0.0422	0.0663	0.0904	0.0904	0.0843	0.0783	0.0783	0.0542	0.0542	0.006	0.0843	0.0904	0.0361
MSMEG_4265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4268	0.08	0.08	0.04	0.06	0.04	0.06	0.14	0.06	0.1	0.1	0.06	0.02	0.04	0.08	0.02	0.02
MSMEG_4269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4270	0.053	0.0985	0.0379	0.0341	0.053	0.072	0.1098	0.0492	0.0833	0.0758	0.0985	0.0682	0.0341	0.0417	0.0758	0.0152
MSMEG_4271	0.0	0.1154	0.0385	0.0385	0.0385	0.1538	0.1538	0.0	0.0769	0.0385	0.0769	0.1154	0.0769	0.0385	0.0385	0.0
MSMEG_4272	0.0253	0.038	0.0759	0.0633	0.0506	0.1013	0.1266	0.0127	0.1139	0.1013	0.0759	0.0506	0.0127	0.0506	0.0633	0.038
MSMEG_4273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4274	0.0378	0.0546	0.0336	0.0336	0.0504	0.0882	0.1387	0.0504	0.0588	0.1345	0.084	0.063	0.0126	0.0504	0.084	0.0252
MSMEG_4275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4280	0.0345	0.0345	0.0345	0.1034	0.1724	0.0	0.069	0.0	0.0	0.1379	0.2069	0.0345	0.0	0.1034	0.0345	0.0345
MSMEG_4281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4282	0.0357	0.0714	0.1071	0.0	0.0714	0.0714	0.1071	0.0	0.1071	0.0714	0.2143	0.0714	0.0	0.0357	0.0357	0.0
MSMEG_4283	0.0543	0.087	0.0978	0.0109	0.087	0.087	0.0652	0.0217	0.0761	0.0326	0.0543	0.1304	0.0326	0.0652	0.0652	0.0326
MSMEG_4284	0.027	0.0608	0.0676	0.0203	0.0405	0.0946	0.1216	0.0338	0.1014	0.1014	0.1622	0.0338	0.0068	0.0338	0.0473	0.0473
MSMEG_4285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4287	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4290	0.12	0.12	0.12	0.0	0.12	0.04	0.0	0.04	0.08	0.0	0.12	0.08	0.08	0.04	0.0	0.04
MSMEG_4291	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4298	0.0294	0.1029	0.0588	0.0588	0.0441	0.0735	0.1324	0.0294	0.1471	0.0294	0.1176	0.0294	0.0294	0.0735	0.0147	0.0294
MSMEG_4299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4302	0.0541	0.0541	0.0541	0.027	0.0	0.1081	0.1622	0.027	0.1351	0.0811	0.0541	0.0811	0.0	0.0541	0.0811	0.027
MSMEG_4303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_4306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
