 	CDS_5pUnpairedNt
MSMEG_2615	4
MSMEG_2616	0
MSMEG_2617	1
MSMEG_2618	1
MSMEG_2619	6
MSMEG_2620	2
MSMEG_2621	5
MSMEG_2622	4
MSMEG_2623	0
MSMEG_2624	3
MSMEG_2625	4
MSMEG_2626	0
MSMEG_2627	0
MSMEG_2628	3
MSMEG_2629	4
MSMEG_2630	2
MSMEG_2631	6
MSMEG_2632	2
MSMEG_2633	16
MSMEG_2634	0
MSMEG_2635	2
MSMEG_2636	2
MSMEG_2637	2
MSMEG_2638	0
MSMEG_2639	6
MSMEG_2640	2
MSMEG_2641	1
MSMEG_2642	0
MSMEG_2643	0
MSMEG_2644	0
MSMEG_2645	0
MSMEG_2646	6
MSMEG_2647	0
MSMEG_2648	3
MSMEG_2649	3
MSMEG_2650	5
MSMEG_2651	1
MSMEG_2652	4
MSMEG_2653	8
MSMEG_2654	0
MSMEG_2655	1
MSMEG_2656	2
MSMEG_2657	4
MSMEG_2658	20
MSMEG_2659	3
MSMEG_2660	0
MSMEG_2661	9
MSMEG_2662	2
MSMEG_2663	0
MSMEG_2664	0
MSMEG_2665	1
MSMEG_2666	0
MSMEG_2667	0
MSMEG_2668	1
MSMEG_2669	2
MSMEG_2670	0
MSMEG_2671	2
MSMEG_2672	2
MSMEG_2673	1
MSMEG_2674	0
MSMEG_2675	1
MSMEG_2676	3
MSMEG_2677	2
MSMEG_2678	6
MSMEG_2679	2
MSMEG_2680	0
MSMEG_2681	2
MSMEG_2682	2
MSMEG_2683	10
MSMEG_2684	0
MSMEG_2685	4
MSMEG_2686	1
MSMEG_2687	8
MSMEG_2688	2
MSMEG_2689	0
MSMEG_2690	1
MSMEG_2691	5
MSMEG_2692	2
MSMEG_2693	6
MSMEG_2694	2
MSMEG_2695	1
MSMEG_2696	0
MSMEG_2697	0
MSMEG_2698	1
MSMEG_2699	0
MSMEG_2700	0
MSMEG_2701	1
MSMEG_2702	10
MSMEG_2703	2
MSMEG_2705	15
MSMEG_2706	0
MSMEG_2707	11
MSMEG_2708	11
MSMEG_2709	5
MSMEG_2710	0
MSMEG_2711	3
MSMEG_2712	1
MSMEG_2713	7
MSMEG_2714	0
MSMEG_2715	2
MSMEG_2716	0
MSMEG_2717	3
MSMEG_2718	4
MSMEG_2719	4
MSMEG_2720	7
MSMEG_2721	2
MSMEG_2722	2
MSMEG_2723	1
MSMEG_2724	1
MSMEG_2725	2
MSMEG_2726	0
MSMEG_2727	2
MSMEG_2728	2
MSMEG_2729	2
MSMEG_2731	2
MSMEG_2732	6
MSMEG_2733	0
MSMEG_2734	0
MSMEG_2735	0
MSMEG_2736	10
MSMEG_2737	1
MSMEG_2738	2
MSMEG_2739	0
MSMEG_2740	4
MSMEG_2741	3
MSMEG_2742	2
MSMEG_2743	0
MSMEG_2744	3
MSMEG_2746	24
MSMEG_2748	3
MSMEG_2749	2
MSMEG_2750	6
MSMEG_2751	0
MSMEG_2752	1
MSMEG_2753	16
MSMEG_2754	12
MSMEG_2755	2
MSMEG_2756	6
MSMEG_2757	13
MSMEG_2758	1
MSMEG_2759	0
MSMEG_2760	7
MSMEG_2761	6
MSMEG_2762	0
MSMEG_2763	2
MSMEG_2764	2
MSMEG_2765	0
MSMEG_2766	10
MSMEG_2767	5
MSMEG_2768	2
MSMEG_2769	6
MSMEG_2770	0
MSMEG_2771	4
MSMEG_2772	3
MSMEG_2773	0
MSMEG_2774	0
MSMEG_2775	2
MSMEG_2776	12
MSMEG_2777	5
MSMEG_2778	9
MSMEG_2779	5
MSMEG_2780	9
MSMEG_2781	0
MSMEG_2782	2
MSMEG_2783	0
MSMEG_2784	6
MSMEG_2785	2
MSMEG_2786	0
MSMEG_2787	1
MSMEG_2788	6
MSMEG_2789	5
MSMEG_2790	2
MSMEG_2791	10
MSMEG_2792	1
MSMEG_2793	0
MSMEG_2794	1
MSMEG_2795	1
MSMEG_2796	2
MSMEG_2797	15
MSMEG_2798	5
MSMEG_2799	7
MSMEG_2800	0
MSMEG_2801	4
MSMEG_2802	1
MSMEG_2803	1
MSMEG_2804	0
MSMEG_2805	1
MSMEG_2806	3
MSMEG_2807	1
MSMEG_2808	0
MSMEG_2809	0
MSMEG_2810	6
MSMEG_2811	0
MSMEG_2812	2
MSMEG_2813	2
MSMEG_2814	6
MSMEG_2817	5
MSMEG_2818	0
MSMEG_2819	0
MSMEG_2820	2
MSMEG_2821	0
MSMEG_2822	5
MSMEG_2823	0
MSMEG_2824	0
MSMEG_2825	1
MSMEG_2826	2
MSMEG_2827	0
MSMEG_2828	0
MSMEG_2829	0
MSMEG_2830	4
MSMEG_2831	10
MSMEG_2832	8
MSMEG_2837	10
MSMEG_2838	10
MSMEG_2839	8
MSMEG_2840	6
MSMEG_2841	3
MSMEG_2842	0
MSMEG_2843	2
MSMEG_2844	0
MSMEG_2845	1
MSMEG_2846	6
MSMEG_2847	1
MSMEG_2848	3
MSMEG_2849	2
MSMEG_2850	4
MSMEG_2851	1
MSMEG_2852	0
MSMEG_2853	2
MSMEG_2854	2
MSMEG_2855	9
MSMEG_2856	10
MSMEG_2857	11
MSMEG_2858	6
MSMEG_2859	0
MSMEG_2860	7
MSMEG_2861	2
MSMEG_2862	1
MSMEG_2863	1
MSMEG_2864	4
MSMEG_2865	4
MSMEG_2866	3
MSMEG_2867	0
MSMEG_2868	4
MSMEG_2869	0
MSMEG_2870	4
MSMEG_2871	0
MSMEG_2872	4
MSMEG_2873	2
MSMEG_2874	2
MSMEG_2875	12
MSMEG_2876	4
MSMEG_2877	8
MSMEG_2878	5
MSMEG_2879	0
MSMEG_2880	1
MSMEG_2881	8
MSMEG_2882	12
MSMEG_2883	0
MSMEG_2884	4
MSMEG_2885	9
MSMEG_2886	2
MSMEG_2887	0
MSMEG_2888	2
MSMEG_2889	2
MSMEG_2890	0
MSMEG_2891	2
MSMEG_2892	9
MSMEG_2893	3
MSMEG_2894	3
MSMEG_2895	1
MSMEG_2896	0
MSMEG_2897	2
MSMEG_2898	1
MSMEG_2899	2
MSMEG_2900	1
MSMEG_2901	0
MSMEG_2902	1
MSMEG_2904	2
MSMEG_2905	0
MSMEG_2906	4
MSMEG_2907	1
MSMEG_2908	0
MSMEG_2909	8
MSMEG_2910	2
MSMEG_2911	11
MSMEG_2912	12
MSMEG_2913	2
MSMEG_2914	6
MSMEG_2915	2
MSMEG_2916	1
MSMEG_2917	2
MSMEG_2918	3
MSMEG_2919	4
MSMEG_2920	2
MSMEG_2921	5
MSMEG_2922	2
MSMEG_2923	2
MSMEG_2924	4
MSMEG_2925	2
MSMEG_2926	0
MSMEG_2927	1
MSMEG_2928	1
MSMEG_2929	0
MSMEG_2930	0
MSMEG_2931	3
MSMEG_2932	0
MSMEG_2933	0
MSMEG_2934	12
MSMEG_2935	4
MSMEG_2936	2
MSMEG_2937	9
MSMEG_2938	2
MSMEG_2939	2
MSMEG_2940	1
MSMEG_2941	2
MSMEG_2942	2
MSMEG_2943	4
MSMEG_2944	5
MSMEG_2945	1
MSMEG_2946	4
MSMEG_2947	6
MSMEG_2948	9
MSMEG_2949	2
MSMEG_2950	3
MSMEG_2951	0
MSMEG_2952	1
MSMEG_2953	8
MSMEG_2954	0
MSMEG_2955	6
MSMEG_2956	1
MSMEG_2957	1
MSMEG_2958	18
MSMEG_2959	0
MSMEG_2960	1
MSMEG_2961	1
MSMEG_2962	1
MSMEG_2963	0
MSMEG_2964	2
MSMEG_2965	1
MSMEG_2966	0
MSMEG_2967	0
MSMEG_2968	2
MSMEG_2969	11
MSMEG_2970	5
MSMEG_2971	1
MSMEG_2972	3
MSMEG_2973	0
MSMEG_2974	2
MSMEG_2975	0
MSMEG_2976	3
MSMEG_2977	3
MSMEG_2978	1
MSMEG_2979	1
MSMEG_2980	8
MSMEG_2981	2
MSMEG_2982	1
MSMEG_2983	8
MSMEG_2984	0
MSMEG_2985	5
MSMEG_2986	23
MSMEG_2988	1
MSMEG_2989	0
MSMEG_2990	0
MSMEG_2991	15
MSMEG_2992	2
MSMEG_2993	0
MSMEG_2994	0
MSMEG_2995	0
MSMEG_2996	8
MSMEG_2997	8
MSMEG_2998	5
MSMEG_2999	0
MSMEG_3000	3
MSMEG_3001	2
MSMEG_3002	2
MSMEG_3003	0
MSMEG_3004	6
MSMEG_3005	0
MSMEG_3006	12
MSMEG_3007	1
MSMEG_3008	0
MSMEG_3009	8
MSMEG_3010	6
MSMEG_3011	6
MSMEG_3012	5
MSMEG_3013	0
MSMEG_3014	0
MSMEG_3015	7
MSMEG_3016	3
MSMEG_3017	2
MSMEG_3018	0
MSMEG_3019	2
MSMEG_3020	0
MSMEG_3021	0
MSMEG_3022	0
MSMEG_3024	0
MSMEG_3025	0
MSMEG_3026	2
MSMEG_3027	1
MSMEG_3028	0
MSMEG_3029	2
MSMEG_3030	0
MSMEG_3031	2
MSMEG_3032	8
MSMEG_3033	4
MSMEG_3034	12
MSMEG_3035	2
MSMEG_3036	2
MSMEG_3038	4
MSMEG_3039	0
MSMEG_3040	10
MSMEG_3041	4
MSMEG_3042	0
MSMEG_3043	0
MSMEG_3044	9
MSMEG_3045	2
MSMEG_3046	4
MSMEG_3047	3
MSMEG_3048	2
MSMEG_3049	0
MSMEG_3050	0
MSMEG_3051	4
MSMEG_3052	0
MSMEG_3053	1
MSMEG_3054	0
MSMEG_3055	9
MSMEG_3056	1
MSMEG_3057	7
MSMEG_3058	13
MSMEG_3059	2
MSMEG_3060	2
MSMEG_3061	7
MSMEG_3062	0
MSMEG_3063	0
MSMEG_3064	2
MSMEG_3065	0
MSMEG_3066	0
MSMEG_3067	0
MSMEG_3068	5
MSMEG_3069	0
MSMEG_3070	5
MSMEG_3071	0
MSMEG_3072	4
MSMEG_3073	0
MSMEG_3074	0
MSMEG_3075	1
MSMEG_3076	2
MSMEG_3077	0
MSMEG_3078	0
MSMEG_3079	0
MSMEG_3080	11
MSMEG_3081	0
MSMEG_3082	2
MSMEG_3083	3
MSMEG_3084	4
MSMEG_3085	1
MSMEG_3086	7
MSMEG_3087	7
MSMEG_3089	7
MSMEG_3090	8
MSMEG_3091	1
MSMEG_3092	1
MSMEG_3093	0
MSMEG_3094	11
MSMEG_3095	5
MSMEG_3096	2
MSMEG_3097	3
MSMEG_3098	3
MSMEG_3099	4
MSMEG_3100	1
MSMEG_3101	2
MSMEG_3102	3
MSMEG_3103	7
MSMEG_3104	0
MSMEG_3105	0
MSMEG_3106	1
MSMEG_3107	0
MSMEG_3108	1
MSMEG_3109	1
MSMEG_3110	7
MSMEG_3111	10
MSMEG_3112	2
MSMEG_3113	0
MSMEG_3114	1
MSMEG_3115	0
MSMEG_3116	0
MSMEG_3117	9
MSMEG_3118	0
MSMEG_3119	3
MSMEG_3120	0
MSMEG_3121	0
MSMEG_3122	1
MSMEG_3123	4
MSMEG_3124	4
MSMEG_3125	8
MSMEG_3126	0
MSMEG_3127	2
MSMEG_3128	4
MSMEG_3129	2
MSMEG_3130	1
MSMEG_3131	1
MSMEG_3132	2
MSMEG_3133	0
MSMEG_3134	0
MSMEG_3135	4
MSMEG_3136	0
MSMEG_3137	0
MSMEG_3138	0
MSMEG_3139	0
MSMEG_3140	0
MSMEG_3141	4
MSMEG_3142	0
MSMEG_3143	0
MSMEG_3144	7
MSMEG_3145	2
MSMEG_3146	9
MSMEG_3147	8
MSMEG_3148	5
MSMEG_3149	3
MSMEG_3150	2
MSMEG_3151	2
MSMEG_3152	0
MSMEG_3153	3
MSMEG_3154	2
MSMEG_3155	2
MSMEG_3156	7
MSMEG_3157	0
MSMEG_3158	0
MSMEG_3159	6
MSMEG_3160	0
MSMEG_3161	4
MSMEG_3162	0
MSMEG_3163	2
MSMEG_3164	0
MSMEG_3165	0
MSMEG_3166	0
MSMEG_3167	0
MSMEG_3168	2
MSMEG_3169	6
MSMEG_3170	9
MSMEG_3171	0
MSMEG_3172	0
MSMEG_3173	3
MSMEG_3174	4
MSMEG_3175	0
MSMEG_3176	0
MSMEG_3177	9
MSMEG_3178	5
MSMEG_3179	2
MSMEG_3180	2
MSMEG_3181	2
MSMEG_3182	0
MSMEG_3183	0
MSMEG_3184	4
MSMEG_3186	2
MSMEG_3187	13
MSMEG_3188	0
MSMEG_3189	5
MSMEG_3190	4
MSMEG_3191	1
MSMEG_3192	10
MSMEG_3193	6
MSMEG_3194	5
MSMEG_3195	0
MSMEG_3196	4
MSMEG_3197	6
MSMEG_3198	0
MSMEG_3199	2
MSMEG_3200	5
MSMEG_3201	18
MSMEG_3202	0
MSMEG_3203	6
MSMEG_3204	3
MSMEG_3205	20
MSMEG_3206	0
MSMEG_3207	1
MSMEG_3208	2
MSMEG_3209	3
MSMEG_3210	3
MSMEG_3211	6
MSMEG_3212	1
MSMEG_3213	0
MSMEG_3214	2
MSMEG_3215	1
MSMEG_3216	9
MSMEG_3217	3
MSMEG_3218	6
MSMEG_3219	7
MSMEG_3220	0
MSMEG_3221	4
MSMEG_3222	2
MSMEG_3223	2
MSMEG_3224	10
MSMEG_3225	0
MSMEG_3226	0
MSMEG_3227	0
MSMEG_3228	5
MSMEG_3229	2
MSMEG_3231	3
MSMEG_3232	2
MSMEG_3233	2
MSMEG_3234	8
MSMEG_3235	2
MSMEG_3236	0
MSMEG_3237	0
MSMEG_3238	0
MSMEG_3239	1
MSMEG_3240	4
MSMEG_3241	0
MSMEG_3242	21
MSMEG_3244	0
MSMEG_3246	5
MSMEG_3247	0
MSMEG_3248	1
MSMEG_3249	2
MSMEG_3250	11
MSMEG_3251	10
MSMEG_3252	0
MSMEG_3253	0
MSMEG_3254	11
MSMEG_3255	4
MSMEG_3256	2
MSMEG_3257	3
MSMEG_3258	2
MSMEG_3259	2
MSMEG_3260	5
MSMEG_3261	3
MSMEG_3262	2
MSMEG_3263	4
MSMEG_3264	0
MSMEG_3265	0
MSMEG_3266	0
MSMEG_3267	0
MSMEG_3268	10
MSMEG_3269	1
MSMEG_3270	0
MSMEG_3271	11
MSMEG_3272	1
MSMEG_3273	1
MSMEG_3274	2
MSMEG_3275	2
MSMEG_3276	3
MSMEG_3277	2
MSMEG_3278	1
MSMEG_3279	4
MSMEG_3280	4
MSMEG_3281	1
MSMEG_3282	0
MSMEG_3283	0
MSMEG_3284	0
MSMEG_3285	4
MSMEG_3286	8
MSMEG_3287	4
MSMEG_3288	5
MSMEG_3289	3
MSMEG_3290	0
MSMEG_3291	1
MSMEG_3292	5
MSMEG_3293	12
MSMEG_3294	0
MSMEG_3295	3
MSMEG_3296	6
MSMEG_3297	7
MSMEG_3298	2
MSMEG_3300	2
MSMEG_3301	0
MSMEG_3302	2
MSMEG_3303	5
MSMEG_3304	1
MSMEG_3305	0
MSMEG_3306	11
MSMEG_3308	3
MSMEG_3309	2
MSMEG_3310	5
MSMEG_3311	2
MSMEG_3312	1
MSMEG_3313	6
MSMEG_3314	0
MSMEG_3315	4
MSMEG_3316	3
MSMEG_3317	5
MSMEG_3318	4
MSMEG_3319	0
MSMEG_3321	0
MSMEG_3322	0
MSMEG_3323	5
MSMEG_3324	0
MSMEG_3325	0
MSMEG_3326	1
MSMEG_3327	1
MSMEG_3328	10
MSMEG_3329	0
MSMEG_3330	1
MSMEG_3331	2
MSMEG_3332	12
MSMEG_3334	1
MSMEG_3335	12
MSMEG_3336	2
MSMEG_3337	0
MSMEG_3338	2
MSMEG_3339	0
MSMEG_3340	0
MSMEG_3341	6
MSMEG_3342	1
MSMEG_3343	2
MSMEG_3344	1
MSMEG_3345	2
MSMEG_3346	13
MSMEG_3347	10
MSMEG_3348	4
MSMEG_3349	5
MSMEG_3350	4
MSMEG_3351	1
MSMEG_3352	8
MSMEG_3353	0
MSMEG_3354	2
MSMEG_3355	14
MSMEG_3356	2
MSMEG_3357	5
MSMEG_3358	0
MSMEG_3359	5
MSMEG_3360	0
MSMEG_3361	2
MSMEG_3362	2
MSMEG_3363	4
MSMEG_3364	2
MSMEG_3365	0
MSMEG_3366	1
MSMEG_3367	6
MSMEG_3368	2
MSMEG_3369	7
MSMEG_3370	3
MSMEG_3372	4
MSMEG_3373	5
MSMEG_3374	5
MSMEG_3375	0
MSMEG_3376	2
MSMEG_3377	1
MSMEG_3378	5
MSMEG_3379	0
MSMEG_3380	2
MSMEG_3381	0
MSMEG_3382	0
MSMEG_3383	2
MSMEG_3384	21
MSMEG_3385	8
MSMEG_3386	0
MSMEG_3387	10
MSMEG_3388	1
MSMEG_3389	2
MSMEG_3390	0
MSMEG_3391	1
MSMEG_3392	5
MSMEG_3393	2
MSMEG_3394	4
MSMEG_3395	7
MSMEG_3396	3
MSMEG_3397	0
MSMEG_3398	9
MSMEG_3400	0
MSMEG_3401	5
MSMEG_3402	0
MSMEG_3403	3
MSMEG_3404	4
MSMEG_3405	5
MSMEG_3406	4
MSMEG_3407	0
MSMEG_3408	1
MSMEG_3409	12
MSMEG_3410	1
MSMEG_3411	0
MSMEG_3412	4
MSMEG_3414	0
MSMEG_3415	4
MSMEG_3416	2
MSMEG_3417	0
MSMEG_3418	3
MSMEG_3419	7
MSMEG_3420	0
MSMEG_3421	2
MSMEG_3422	2
MSMEG_3423	2
MSMEG_3424	10
MSMEG_3425	4
MSMEG_3426	0
MSMEG_3427	2
MSMEG_3428	0
MSMEG_3429	5
MSMEG_3430	0
MSMEG_3431	1
MSMEG_3432	0
MSMEG_3433	0
MSMEG_3434	8
MSMEG_3435	9
MSMEG_3436	0
MSMEG_3437	4
MSMEG_3438	0
MSMEG_3439	10
MSMEG_3440	16
MSMEG_3441	0
MSMEG_3442	0
MSMEG_3443	2
MSMEG_3444	2
MSMEG_3445	1
MSMEG_3446	0
MSMEG_3447	3
MSMEG_3448	0
MSMEG_3449	0
MSMEG_3450	2
MSMEG_3451	2
MSMEG_3452	2
MSMEG_3453	0
MSMEG_3454	0
MSMEG_3455	18
MSMEG_3456	5
MSMEG_3457	1
MSMEG_3458	0
MSMEG_3459	2
MSMEG_3460	2
MSMEG_3461	0
MSMEG_3462	8
MSMEG_3463	4
MSMEG_3464	2
MSMEG_3465	5
MSMEG_3466	0
MSMEG_3467	4
MSMEG_3468	0
MSMEG_3469	4
MSMEG_3470	2
MSMEG_3471	2
MSMEG_3472	9
MSMEG_3473	2
MSMEG_3474	2
MSMEG_3475	2
MSMEG_3476	10
MSMEG_3477	2
MSMEG_3478	5
MSMEG_3479	0
MSMEG_3480	11
MSMEG_3481	3
MSMEG_3482	0
MSMEG_3483	2
MSMEG_3484	11
MSMEG_3485	5
MSMEG_3486	2
MSMEG_3487	9
MSMEG_3488	1
MSMEG_3489	0
MSMEG_3490	0
MSMEG_3491	0
MSMEG_3492	0
MSMEG_3493	2
MSMEG_3494	7
MSMEG_3495	0
MSMEG_3496	2
MSMEG_3497	2
MSMEG_3498	1
MSMEG_3499	0
MSMEG_3500	0
MSMEG_3501	2
MSMEG_3502	6
MSMEG_3503	0
MSMEG_3504	1
MSMEG_3505	9
MSMEG_3506	2
MSMEG_3507	1
MSMEG_3508	0
MSMEG_3509	16
MSMEG_3510	0
MSMEG_3511	3
MSMEG_3512	0
MSMEG_3513	0
MSMEG_3514	11
MSMEG_3515	2
MSMEG_3517	2
MSMEG_3518	1
MSMEG_3519	1
MSMEG_3520	0
MSMEG_3521	2
MSMEG_3522	0
MSMEG_3523	0
MSMEG_3524	1
MSMEG_3525	0
MSMEG_3526	0
MSMEG_3527	1
MSMEG_3528	8
MSMEG_3529	6
MSMEG_3530	0
MSMEG_3531	2
MSMEG_3532	0
MSMEG_3533	0
MSMEG_3534	1
MSMEG_3535	2
MSMEG_3536	10
MSMEG_3537	2
MSMEG_3538	2
MSMEG_3539	8
MSMEG_3540	5
MSMEG_3541	0
MSMEG_3542	10
MSMEG_3543	0
MSMEG_3544	1
MSMEG_3545	10
MSMEG_3546	2
MSMEG_3547	3
MSMEG_3548	0
MSMEG_3549	7
MSMEG_3550	4
MSMEG_3551	2
MSMEG_3552	11
MSMEG_3553	1
MSMEG_3554	9
MSMEG_3555	2
MSMEG_3556	2
MSMEG_3557	10
MSMEG_3558	0
MSMEG_3559	3
MSMEG_3560	1
MSMEG_3561	7
MSMEG_3562	4
MSMEG_3563	2
MSMEG_3564	5
MSMEG_3565	14
MSMEG_3566	0
MSMEG_3567	6
MSMEG_3568	5
MSMEG_3569	8
MSMEG_3570	0
MSMEG_3571	5
MSMEG_3572	0
MSMEG_3573	2
MSMEG_3574	4
MSMEG_3575	0
MSMEG_3576	6
MSMEG_3577	0
MSMEG_3578	0
MSMEG_3579	6
MSMEG_3580	1
MSMEG_3581	0
MSMEG_3582	1
MSMEG_3583	1
MSMEG_3584	1
MSMEG_3585	1
MSMEG_3586	6
MSMEG_3587	4
MSMEG_3588	0
MSMEG_3589	0
MSMEG_3590	4
MSMEG_3591	10
MSMEG_3592	0
MSMEG_3593	2
MSMEG_3594	6
MSMEG_3595	9
MSMEG_3596	1
MSMEG_3597	1
MSMEG_3598	10
MSMEG_3599	6
MSMEG_3600	1
MSMEG_3601	2
MSMEG_3602	10
MSMEG_3603	10
MSMEG_3604	7
MSMEG_3605	4
MSMEG_3606	2
MSMEG_3607	4
MSMEG_3608	3
MSMEG_3609	1
MSMEG_3610	2
MSMEG_3611	4
MSMEG_3612	0
MSMEG_3613	2
MSMEG_3614	6
MSMEG_3615	0
MSMEG_3616	5
MSMEG_3617	5
MSMEG_3618	1
MSMEG_3619	2
MSMEG_3620	0
MSMEG_3621	4
MSMEG_3622	3
MSMEG_3623	4
MSMEG_3624	0
MSMEG_3625	1
MSMEG_3626	4
MSMEG_3627	0
MSMEG_3628	0
MSMEG_3629	0
MSMEG_3630	2
MSMEG_3631	0
MSMEG_3632	6
MSMEG_3633	11
MSMEG_3634	0
MSMEG_3635	5
MSMEG_3636	17
MSMEG_3637	1
MSMEG_3638	3
MSMEG_3639	0
MSMEG_3640	0
MSMEG_3641	1
MSMEG_3642	1
MSMEG_3643	4
MSMEG_3644	1
MSMEG_3645	11
MSMEG_3646	7
MSMEG_3647	2
MSMEG_3648	6
MSMEG_3649	1
MSMEG_3650	0
MSMEG_3651	2
MSMEG_3652	0
MSMEG_3653	1
MSMEG_3654	2
MSMEG_3655	1
MSMEG_3656	2
MSMEG_3657	2
MSMEG_3658	0
MSMEG_3659	0
MSMEG_3660	5
MSMEG_3661	3
MSMEG_3662	0
MSMEG_3663	8
MSMEG_3664	0
MSMEG_3665	2
MSMEG_3666	3
MSMEG_3667	3
MSMEG_3668	2
MSMEG_3669	1
MSMEG_3670	2
MSMEG_3671	1
MSMEG_3672	5
MSMEG_3673	12
MSMEG_3674	19
MSMEG_3675	6
MSMEG_3676	2
MSMEG_3677	9
MSMEG_3678	0
MSMEG_3679	0
MSMEG_3680	2
MSMEG_3681	5
MSMEG_3682	0
MSMEG_3683	3
MSMEG_3684	0
MSMEG_3685	1
MSMEG_3686	5
MSMEG_3687	4
MSMEG_3688	0
MSMEG_3689	2
MSMEG_3691	10
MSMEG_3692	0
MSMEG_3693	4
MSMEG_3694	4
MSMEG_3695	5
MSMEG_3696	0
MSMEG_3697	0
MSMEG_3698	5
MSMEG_3699	0
MSMEG_3700	0
MSMEG_3701	4
MSMEG_3703	1
MSMEG_3704	1
MSMEG_3705	2
MSMEG_3706	1
MSMEG_3707	2
MSMEG_3708	0
MSMEG_3709	4
MSMEG_3710	0
MSMEG_3711	0
MSMEG_3712	1
MSMEG_3713	2
MSMEG_3714	12
MSMEG_3715	0
MSMEG_3716	0
MSMEG_3718	8
MSMEG_3719	4
MSMEG_3720	1
MSMEG_3721	2
MSMEG_3722	6
MSMEG_3723	5
MSMEG_3724	0
MSMEG_3725	10
MSMEG_3726	1
MSMEG_3727	0
MSMEG_3728	2
MSMEG_3729	0
MSMEG_3730	4
MSMEG_3731	1
MSMEG_3732	0
MSMEG_3733	2
MSMEG_3735	2
MSMEG_3736	6
MSMEG_3737	0
MSMEG_3738	0
MSMEG_3739	4
MSMEG_3740	3
MSMEG_3741	9
MSMEG_3742	0
MSMEG_3743	3
MSMEG_3744	2
MSMEG_3745	0
MSMEG_3746	0
MSMEG_3748	12
MSMEG_3750	8
MSMEG_3751	4
MSMEG_3752	4
MSMEG_3753	4
MSMEG_3754	0
MSMEG_3758	1
MSMEG_3759	6
MSMEG_3760	6
MSMEG_3761	2
MSMEG_3762	1
MSMEG_3763	0
MSMEG_3764	0
MSMEG_3765	2
MSMEG_3766	9
MSMEG_3767	1
MSMEG_3768	9
MSMEG_3769	1
MSMEG_3770	0
MSMEG_3771	8
MSMEG_3772	5
MSMEG_3773	0
MSMEG_3774	1
MSMEG_3775	1
MSMEG_3776	4
MSMEG_3777	2
MSMEG_3778	0
MSMEG_3779	3
MSMEG_3780	0
MSMEG_3781	2
MSMEG_3782	0
MSMEG_3783	2
MSMEG_3784	3
MSMEG_3785	2
MSMEG_3786	3
MSMEG_3787	2
MSMEG_3788	1
MSMEG_3789	2
MSMEG_3790	0
MSMEG_3791	2
MSMEG_3792	1
MSMEG_3793	2
MSMEG_3794	0
MSMEG_3795	8
MSMEG_3796	0
MSMEG_3797	6
MSMEG_3798	2
MSMEG_3799	1
MSMEG_3800	1
MSMEG_3801	1
MSMEG_3802	9
MSMEG_3803	9
MSMEG_3804	6
MSMEG_3805	9
MSMEG_3806	1
MSMEG_3807	11
MSMEG_3808	3
MSMEG_3809	9
MSMEG_3810	9
MSMEG_3811	2
MSMEG_3812	0
MSMEG_3813	3
MSMEG_3815	12
MSMEG_3816	2
MSMEG_3817	0
MSMEG_3818	6
MSMEG_3819	4
MSMEG_3820	2
MSMEG_3821	0
MSMEG_3822	7
MSMEG_3823	5
MSMEG_3824	7
MSMEG_3825	1
MSMEG_3826	2
MSMEG_3827	1
MSMEG_3828	4
MSMEG_3829	6
MSMEG_3830	4
MSMEG_3831	4
MSMEG_3832	0
MSMEG_3833	1
MSMEG_3834	4
MSMEG_3835	5
MSMEG_3836	0
MSMEG_3837	5
MSMEG_3838	7
MSMEG_3839	0
MSMEG_3840	1
MSMEG_3841	3
MSMEG_3842	2
MSMEG_3843	0
MSMEG_3844	3
MSMEG_3845	0
MSMEG_3846	0
MSMEG_3847	2
MSMEG_3848	2
MSMEG_3849	2
MSMEG_3850	4
MSMEG_3851	2
MSMEG_3852	0
MSMEG_3853	4
MSMEG_3854	2
MSMEG_3855	5
MSMEG_3856	0
MSMEG_3857	0
MSMEG_3858	0
MSMEG_3859	4
MSMEG_3860	2
MSMEG_3861	2
MSMEG_3862	1
MSMEG_3863	1
MSMEG_3864	2
MSMEG_3865	6
MSMEG_3866	8
MSMEG_3867	4
MSMEG_3868	6
MSMEG_3869	0
MSMEG_3870	4
MSMEG_3871	13
MSMEG_3872	0
MSMEG_3873	3
MSMEG_3874	0
MSMEG_3875	11
MSMEG_3876	7
MSMEG_3877	6
MSMEG_3878	2
MSMEG_3879	0
MSMEG_3880	1
MSMEG_3881	1
MSMEG_3882	9
MSMEG_3883	4
MSMEG_3884	5
MSMEG_3885	3
MSMEG_3886	12
MSMEG_3887	0
MSMEG_3888	2
MSMEG_3890	0
MSMEG_3891	8
MSMEG_3892	4
MSMEG_3893	12
MSMEG_3894	2
MSMEG_3895	2
MSMEG_3896	3
MSMEG_3897	6
MSMEG_3898	23
MSMEG_3899	1
MSMEG_3900	0
MSMEG_3901	11
MSMEG_3902	2
MSMEG_3903	7
MSMEG_3904	1
MSMEG_3905	5
MSMEG_3906	0
MSMEG_3907	4
MSMEG_3908	5
MSMEG_3909	3
MSMEG_3910	1
MSMEG_3911	1
MSMEG_3912	0
MSMEG_3913	13
MSMEG_3914	1
MSMEG_3915	5
MSMEG_3916	2
MSMEG_3917	5
MSMEG_3918	7
MSMEG_3919	4
MSMEG_3920	2
MSMEG_3921	0
MSMEG_3922	2
MSMEG_3923	5
